accession_version,taxid
NZ_CP051010.1,"IntegerElement(2721246, attributes={})"
NZ_CP049699.1,"IntegerElement(2823807, attributes={})"
NZ_CP049289.1,"IntegerElement(1197460, attributes={})"
NZ_CP103130.1,"IntegerElement(28116, attributes={})"
NC_017765.1,"IntegerElement(1133850, attributes={})"
NZ_CP006871.1,"IntegerElement(1434306, attributes={})"
NZ_CP018627.1,"IntegerElement(1912, attributes={})"
NZ_CP007699.2,"IntegerElement(47763, attributes={})"
NZ_CP050975.1,"IntegerElement(2721244, attributes={})"
NZ_CP007699.1,"IntegerElement(1403539, attributes={})"
NZ_CP050974.1,"IntegerElement(2721243, attributes={})"
NZ_CP050064.1,"IntegerElement(1355477, attributes={})"
NZ_CP033730.1,"IntegerElement(32002, attributes={})"
NZ_AP014685.1,"IntegerElement(1355477, attributes={})"
NZ_CP011301.1,"IntegerElement(292, attributes={})"
NZ_CP041607.1,"IntegerElement(2594461, attributes={})"
NZ_CP058644.1,"IntegerElement(515393, attributes={})"
NC_020895.1,"IntegerElement(1203460, attributes={})"
NZ_CP022438.1,"IntegerElement(316280, attributes={})"
NZ_CP065421.1,"IntegerElement(412384, attributes={})"
NZ_CP050522.1,"IntegerElement(1902, attributes={})"
NZ_CP011117.1,"IntegerElement(294, attributes={})"
NZ_CP050293.1,"IntegerElement(381, attributes={})"
NZ_CP053915.1,"IntegerElement(2738413, attributes={})"
NZ_CP027313.1,"IntegerElement(562, attributes={})"
NZ_CP060122.1,"IntegerElement(13690, attributes={})"
NC_022513.1,"IntegerElement(1366050, attributes={})"
NZ_AP018517.1,"IntegerElement(1928, attributes={})"
NZ_CP013129.1,"IntegerElement(54571, attributes={})"
NZ_CP013219.1,"IntegerElement(264445, attributes={})"
NZ_CP093280.1,"IntegerElement(2908006, attributes={})"
NZ_LR890523.1,"IntegerElement(292, attributes={})"
NZ_CP045222.1,"IntegerElement(85698, attributes={})"
NZ_CP027763.1,"IntegerElement(562, attributes={})"
NZ_CP007149.1,"IntegerElement(439184, attributes={})"
NC_002695.1,"IntegerElement(386585, attributes={})"
NZ_CP026269.1,"IntegerElement(571, attributes={})"
NZ_CP020358.1,"IntegerElement(571, attributes={})"
NZ_CP014065.1,"IntegerElement(85698, attributes={})"
NZ_CP027361.1,"IntegerElement(562, attributes={})"
NZ_CP003949.1,"IntegerElement(543736, attributes={})"
NZ_CP068814.1,"IntegerElement(562, attributes={})"
NZ_CP021181.1,"IntegerElement(1283312, attributes={})"
NZ_CP027363.1,"IntegerElement(562, attributes={})"
NZ_OX352322.1,"IntegerElement(3019967, attributes={})"
NZ_CP068808.1,"IntegerElement(562, attributes={})"
NZ_CP008788.1,"IntegerElement(1333852, attributes={})"
NZ_CP049085.1,"IntegerElement(562, attributes={})"
NC_016048.1,"IntegerElement(693746, attributes={})"
NZ_CP022962.1,"IntegerElement(518, attributes={})"
NZ_CP068807.1,"IntegerElement(562, attributes={})"
NZ_CP027597.1,"IntegerElement(562, attributes={})"
NZ_CP015843.1,"IntegerElement(83334, attributes={})"
NZ_CP068799.1,"IntegerElement(562, attributes={})"
NZ_CP068822.1,"IntegerElement(562, attributes={})"
NZ_CP046402.1,"IntegerElement(287, attributes={})"
NZ_CP014060.1,"IntegerElement(85698, attributes={})"
NZ_CP025716.1,"IntegerElement(562, attributes={})"
NZ_CP068821.1,"IntegerElement(562, attributes={})"
NZ_CP061719.1,"IntegerElement(54291, attributes={})"
NZ_CP068815.1,"IntegerElement(562, attributes={})"
NZ_CP024086.1,"IntegerElement(303, attributes={})"
NZ_CP049077.1,"IntegerElement(562, attributes={})"
NZ_LR824643.1,"IntegerElement(195709, attributes={})"
NZ_CP048607.1,"IntegerElement(294, attributes={})"
NZ_CP027464.1,"IntegerElement(562, attributes={})"
NZ_CP026275.1,"IntegerElement(571, attributes={})"
NZ_CP029425.1,"IntegerElement(931866, attributes={})"
NZ_CP017757.1,"IntegerElement(2036817, attributes={})"
NZ_CP050022.1,"IntegerElement(1404888, attributes={})"
NZ_CP026285.1,"IntegerElement(571, attributes={})"
NZ_CP068817.1,"IntegerElement(562, attributes={})"
NZ_CP068830.1,"IntegerElement(562, attributes={})"
NZ_CP068801.1,"IntegerElement(562, attributes={})"
NZ_CP016795.1,"IntegerElement(47716, attributes={})"
NZ_CP029603.1,"IntegerElement(1355477, attributes={})"
NZ_CP065937.1,"IntegerElement(648, attributes={})"
NZ_CP034425.1,"IntegerElement(1331593, attributes={})"
NZ_CP062218.1,"IntegerElement(303, attributes={})"
NZ_CP068810.1,"IntegerElement(562, attributes={})"
NZ_OX352324.1,"IntegerElement(3018930, attributes={})"
NZ_CP068818.1,"IntegerElement(562, attributes={})"
NZ_LS483474.1,"IntegerElement(59204, attributes={})"
NZ_CP068829.1,"IntegerElement(562, attributes={})"
NZ_CP047609.1,"IntegerElement(562, attributes={})"
NZ_CP031450.1,"IntegerElement(294, attributes={})"
NZ_CP022050.1,"IntegerElement(1045010, attributes={})"
NZ_CP068796.1,"IntegerElement(562, attributes={})"
NZ_CP033368.1,"IntegerElement(381, attributes={})"
NZ_CP025985.1,"IntegerElement(305, attributes={})"
NZ_CP068816.1,"IntegerElement(562, attributes={})"
NZ_CP068827.1,"IntegerElement(562, attributes={})"
NZ_CP059840.1,"IntegerElement(562, attributes={})"
NZ_CP113229.1,"IntegerElement(1886, attributes={})"
NZ_CP022086.1,"IntegerElement(1038927, attributes={})"
NZ_CP011636.1,"IntegerElement(571, attributes={})"
NZ_CP040656.1,"IntegerElement(69, attributes={})"
NC_009953.1,"IntegerElement(391037, attributes={})"
NZ_CP018050.1,"IntegerElement(316, attributes={})"
NZ_CP013837.1,"IntegerElement(562, attributes={})"
NZ_CP102774.1,NoneElement(attributes={})
NZ_CP016554.1,"IntegerElement(1130828, attributes={})"
NZ_LR134182.1,"IntegerElement(536, attributes={})"
NC_009512.1,"IntegerElement(351746, attributes={})"
NZ_CP023698.1,"IntegerElement(48665, attributes={})"
NZ_CP026877.1,"IntegerElement(621, attributes={})"
NZ_CP068826.1,"IntegerElement(562, attributes={})"
NZ_CP068809.1,"IntegerElement(562, attributes={})"
NZ_CP103166.1,"IntegerElement(47678, attributes={})"
NZ_CP068811.1,"IntegerElement(562, attributes={})"
NZ_CP051749.1,"IntegerElement(562, attributes={})"
NZ_CP022768.1,"IntegerElement(305, attributes={})"
NZ_CP018046.1,"IntegerElement(316, attributes={})"
NZ_CP046406.1,"IntegerElement(287, attributes={})"
NZ_CP018362.1,"IntegerElement(571, attributes={})"
NZ_CP018252.1,"IntegerElement(562, attributes={})"
NZ_CP085710.1,"IntegerElement(2884833, attributes={})"
NZ_CP068819.1,"IntegerElement(562, attributes={})"
NZ_CP031449.1,"IntegerElement(287, attributes={})"
NZ_CP013731.1,"IntegerElement(1395570, attributes={})"
NZ_LR134235.1,"IntegerElement(244366, attributes={})"
NZ_CP041749.1,"IntegerElement(562, attributes={})"
NZ_CP011020.1,"IntegerElement(587753, attributes={})"
NZ_CP022084.1,"IntegerElement(292, attributes={})"
NZ_CP045552.1,"IntegerElement(287, attributes={})"
NZ_CP014752.1,"IntegerElement(562, attributes={})"
NZ_CP068824.1,"IntegerElement(562, attributes={})"
NZ_CP068804.1,"IntegerElement(562, attributes={})"
NZ_CP044546.1,"IntegerElement(2651048, attributes={})"
NZ_AP018784.1,"IntegerElement(562, attributes={})"
NZ_CP022786.1,"IntegerElement(305, attributes={})"
NZ_CP049787.1,"IntegerElement(305, attributes={})"
NZ_CP022481.1,"IntegerElement(305, attributes={})"
NZ_CP014670.1,"IntegerElement(562, attributes={})"
NZ_CP023014.1,"IntegerElement(305, attributes={})"
NZ_CP008865.1,"IntegerElement(287, attributes={})"
NZ_CP015401.1,"IntegerElement(1796613, attributes={})"
NZ_CP072873.1,"IntegerElement(294, attributes={})"
NZ_CP006834.1,"IntegerElement(1954351, attributes={})"
NZ_CP049791.1,"IntegerElement(305, attributes={})"
NC_008782.1,"IntegerElement(232721, attributes={})"
NZ_CP068813.1,"IntegerElement(562, attributes={})"
NZ_CP016612.1,"IntegerElement(1130829, attributes={})"
NZ_CP049793.1,"IntegerElement(305, attributes={})"
NZ_CP068800.1,"IntegerElement(562, attributes={})"
NZ_CP047898.1,"IntegerElement(2697569, attributes={})"
NZ_CP053852.1,"IntegerElement(562, attributes={})"
